name,category,rating,phone,address,location,latitude,longitude,website
Restaurante la lucero,Restaurante,2.0,9 6335 0421,"Av. Argentina 809, Valparaíso, 2340000, Valparaíso",Valparaíso,-33.050631,-71.6024935,
Colores y sabores restaurant,Restaurante,4.7,9 4777 7465,"Quillota 592, Valparaíso, Viña del Mar 2520000, Valparaíso",Viña del Mar,-33.0171972,-71.5457033,https://www.coloresysabores.cl/
San romano pizzeria,Pizzería,4.4,(32) 319 9747,"5 Nte. 303, Viña del Mar, Valparaíso",Viña del Mar,-33.0176541,-71.5554557,https://www.sanromano.cl/
La gula pizzeria  bar,Pizzería,4.4,(2) 2417 2521,"5 Nte. 147, Viña del Mar, Valparaíso",Viña del Mar,-33.0174773,-71.5578639,https://m.facebook.com/LaGulapizzabar/
La fermata,Pizzería,4.6,(32) 328 6950,"9 Nte. 819, Viña del Mar, Valparaíso",Viña del Mar,-33.0144415,-71.548209,http://lafermata.cl/
Trozados pizza,Pizzería,4.5,9 8207 3684,"13 Nte. 1181, Viña del Mar, Valparaíso",Viña del Mar,-33.0109304,-71.5429912,https://www.trozados.com/
Fariná,Pizzería,4.5,9 9910 0403,"13 Nte. 892, Viña del Mar, Valparaíso",Viña del Mar,-33.0106239,-71.5466325,
Ciao s,Restaurante,4.6,(32) 269 6569,"5 Nte. 164, Viña del Mar, Valparaiso, Valparaíso",Viña del Mar,-33.0175509,-71.5576395,
Badras,Pizzería,4.6,9 4201 0191,"5 Nte. 164, Viña del Mar, Valparaíso",Viña del Mar,-33.0175459,-71.5575329,http://www.facebook.com/badraschile
Fusione pizza amici e ,Pizzería,4.7,(32) 268 3969,"Av. Valparaíso 2, local D, Valparaíso, Viña del Mar 2581907, Valparaíso",Viña del Mar,-33.0246484,-71.5626495,http://www.fusione.cl/
Pizza hut,Pizzería,3.8,600 424 6000,"San Martín 604, Viña del Mar, 2520100, Valparaíso",Viña del Mar,-33.0153868,-71.5558014,https://www.pizzahut.cl/
Florentino,Pizzería,4.5,9 7565 1066,"7 norte 1036 - con calle quillota, Viña del Mar, Valparaíso",Viña del Mar,-33.0170961,-71.5459997,https://www.facebook.com/lamasapizzeria/
Idilico restobar,Restaurante,4.0,(2) 2419 0197,"2 Nte. 109, Viña del Mar, Valparaíso",Viña del Mar,-33.0203782,-71.5585101,
El orégano pizzeria caffe cervecería resturant,Cafetería,4.7,(32) 312 1878,"3 Pte. 157, Viña del Mar, Valparaíso",Viña del Mar,-33.02044,-71.55506,http://www.eloregano.com/
Masas y pizzas pabless,Pizzería,4.6,9 3333 2053,"1 Nte. 615 C, Viña del Mar, Valparaíso",Viña del Mar,-33.0222333,-71.5524658,
Bella pizza,Pizzería,4.4,,"Av. Valparaíso 188, Viña del Mar, Valparaíso",Viña del Mar,-33.0239644,-71.5601126,
Virolos restaurant,Parrilla,4.1,(32) 269 4113,"Av. Valparaíso 146, Viña del Mar, 2520000, Valparaíso",Viña del Mar,-33.0239095,-71.5607003,https://www.facebook.com/Virolos-Restaurant-2526237640761554
Pizzas y pastas,Restaurante,3.0,,"Av. Libertad 902-936, Viña del Mar, Valparaíso",Viña del Mar,-33.0132016,-71.5493924,
Pizzapizza,Pizzería,4.3,(32) 268 2020,"San Martín 570, Viña del Mar, Valparaíso",Viña del Mar,-33.0156593,-71.5560608,http://www.pizzapizza.cl/
Pizza pasta e basta,Restaurante italiano,4.6,9 7277 4353,"San José Poniente Valparaíso CL, Recreo 197, Viña del Mar, 2520000, Valparaíso",Viña del Mar,-33.027755,-71.5647,http://www.facebook.com/pizzapasta.ebasta.cl/
Pizza pasta e basta,Restaurante italiano,4.6,9 7277 4353,"San José Poniente Valparaíso CL, Recreo 197, Viña del Mar, 2520000, Valparaíso",Viña del Mar,-33.027755,-71.5647,http://www.facebook.com/pizzapasta.ebasta.cl/
Expedita restaurante y pizzeria,Restaurante,4.4,(32) 211 2401,"Carlos Condell 36, Viña del Mar, Valparaíso",Viña del Mar,-32.9722785,-71.5424819,
Pizza pasta e basta,Restaurante italiano,4.6,9 7277 4353,"San José Poniente Valparaíso CL, Recreo 197, Viña del Mar, 2520000, Valparaíso",Viña del Mar,-33.027755,-71.5647,http://www.facebook.com/pizzapasta.ebasta.cl/
Pizza pronto,Restaurante,4.2,(32) 262 4409,"Diego Portales 1021, Viña del Mar, Valparaíso",Viña del Mar,-33.0277784,-71.5737354,http://www.pizzapronto.cl/
Apetitus delivery viña del mar,Pizzería,4.8,(32) 335 9522,"Diego Portales 1190, Valparaíso, Viña del Mar 2520000, Valparaíso",Viña del Mar,-33.0282884,-71.5747714,http://apetitus.cl/
Little bro pizzería,Restaurante,4.5,(32) 266 9619,"Viña del Mar, Valparaíso",Viña del Mar,-33.0283347,-71.5748475,
Pizza hut,Pizzería,3.8,600 424 6000,"San Martín 604, Viña del Mar, 2520100, Valparaíso",Viña del Mar,-33.0153868,-71.5558014,https://www.pizzahut.cl/
Piazza recreo,Pizzería,4.6,(32) 360 1509,"5 de Abril 110, Valparaíso, Viña del Mar 2520000, Valparaíso",Viña del Mar,-33.0288869,-71.5795219,http://www.piazzarecreo.cl/
Pizzas y pastas,Restaurante,3.0,,"Av. Libertad 902-936, Viña del Mar, Valparaíso",Viña del Mar,-33.0132016,-71.5493924,
Flo pizzas,Restaurante,4.5,(32) 342 8297,"Manuel Pl. 123-141, Viña del Mar, Valparaíso",Viña del Mar,-33.0185447,-71.5015372,https://www.facebook.com/Flopizza/
Sushiya  nuestra pizza,Restaurante japonés,3.9,(32) 286 6941,"Extremadura 55, Viña del Mar, Valparaíso",Viña del Mar,-32.9947481,-71.5144934,
Telepizza reñaca,Restaurante,3.6,(32) 289 0800,"Av. Borgoño 14635, Viña del Mar, Valparaíso",Viña del Mar,-32.9703905,-71.5434933,http://www.telepizza.cl/
Melt pizzas,Pizzería,4.3,(2) 3278 2111,"Montenegro 300, Esquina, Viana, Valparaíso, Viña del Mar 2520614",Viña del Mar,-33.0291527,-71.5397977,http://www.meltpizzas.com/
Pizzapizza,Pizzería,4.3,(32) 268 2020,"San Martín 570, Viña del Mar, Valparaíso",Viña del Mar,-33.0156593,-71.5560608,http://www.pizzapizza.cl/
Papa johns pizza av libertad viña del mar,Pizzería,4.3,(32) 269 6000,"Av. Libertad 1410, Valparaíso, Viña del Mar 2520000, Valparaíso",Viña del Mar,-33.0079257,-71.5477434,https://www.papajohns.cl/?utm_source=google&utm_medium=organic&utm_campaign=local-seo
Mazzima pizza,Pizzería,,9 5041 8315,"Central 110, Valparaíso, Viña del Mar 2540131, Valparaíso",Viña del Mar,-32.9710965,-71.5442351,http://www.mazzima.cl/
Ristorante san marco,Restaurante italiano,4.5,(32) 297 5304,"San Martín 597, Viña del Mar, Valparaíso",Viña del Mar,-33.0156118,-71.5564734,http://www.ristorantesanmarco.cl/
Va bene,Restaurante,4.4,(32) 361 8757,"Av. Borgoño 13965, Viña del Mar, Valparaíso",Viña del Mar,-32.9733025,-71.5444827,https://m.facebook.com/vabenecl/?locale2=es_LA
Pizzeria mozzarellas,Restaurante,4.5,9 7897 9154,"Lusitania 68, Viña del Mar, Valparaíso",Viña del Mar,-33.0330225,-71.5324405,
Roberta,Pizzería,4.5,9 5385 0276,"1 Pte 572, Viña del Mar, Valparaíso",Viña del Mar,-33.0165428,-71.5514984,http://robertapizzas.cl/
Kaesushi y pizzas delivery,Restaurante de sushi,4.5,(32) 317 6037,"22 Nte. 1673, Viña del Mar, Valparaíso",Viña del Mar,-33.0043467,-71.5388702,https://kaesushi-delivery.negocio.site/
